"","Name","Price","Opinions","Product_Weight","Volume","Power","Height","Width","Depth"
"104","Aspiradora de Mano sin Cable Iseebiz ,6000PA/120W Mini Aspirador de Seco y Húmedo,Aspiradora Portátil con Batería Recargable para Hogar y Coche con Filtro Lavable,4 Boquillas",29.99,82,0.898,2.79065040650406,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"105","Taurus Ultimate Lithium - Aspirador escoba (filtración HEPA, 22.2 V, deposito con 650 ml, filtraje Cyclone System)",128,699,2,0.65,535.027210884354,21.5,19,6
"106","Aspiradora de Mano sin Cable, 6500PA Succión Ciclónico Potente Portátil Aspirador con Filtro Lavable Batería Lones Litio 2200mAh Recargable Seco y Húmedo 600ml Depósito para Mascotas, Coche, la Casa",29.99,55,0.699,0.6,120,39,6,12
"107","Holife Aspiradora de Mano, [Potente Sistema de Succión] Aspirador de Mano Sin Cable 3 en1, Aspiradoras en Seco y Húmedo 600ml de Capacidad,Tiempo Largo de Trabajo, Recargable para Casa, Coche",35.98,2,0.98,2.79065040650406,40,43.8,8,13
"108","Taurus Powered Air - Aspirador Escoba 3 en 1, con Cable de 6 m, Filtro HEPA, 600 W, Blanco",52,27,2.75,2.79065040650406,700,21.5,9,59
"109","Ufesa FA0300 accesorio y suministro de vacío - Accesorio para aspiradora (AS3016 AS3018)",29.9,63,3.67131666666667,2.79065040650406,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"110","Robot Aspirador de Alto Rendimiento, Especial Mascotas, Todo Tipo De Suelos, Autonomía Hasta 90 Min, Sensor De Obstaculos, Mando A Distancia Incluido, Tecnología Silenciosa 70 dB. H.Koenig_SWR28",179.9,35,3.2,0.4,24,32,41,62
"111","AmazonBasics - Aspiradora cilíndrica sin bolsa, 2,5  L, 700 W [clase energética A]",69.99,312,6,2.5,700,45.3,42,32
"112","BUBM Accesorios para aspiradoras Independientes Dyson V6 V7 V8 V10 V11 DC58 DC59 DC62 DC74 Aspirador inalámbrico Soporte de Suelo- Sin perforar la Pared",63.89,14,3.84,2.79065040650406,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"113","Europart - Motor bypass para aspiradora (14,5 cm, 1000 W)",46.41,8,0.998,2.79065040650406,1000,41.7927401574803,31.3622047244094,34.1574803149606
